ID;Domaine;Catégorie;Fonctionnalité;Emplacement;Description;Prérequis / Contenu CMS;Recette de test;Statut
F-001;Front;Pages;Page d'accueil;/ (FR) · /en · /de;Vidéo d'intro + sections de contenu;Page Accueil publiée en français anglais et allemand;1. Ouvrir la page d'accueil 2. La vidéo se lance automatiquement (sans son) 3. Tous les textes et images s'affichent 4. Répéter en anglais (/en) et allemand (/de);
F-002;Front;Pages;Page Mariage;/mariage · /en/mariage · /de/mariage;Portfolio et prestations mariage;Page Mariage publiée avec au moins un bloc « wedding »;1. Aller sur Mariage 2. La bannière vidéo s'affiche 3. Cliquer sur une vignette de couple → une fenêtre s'ouvre avec la vidéo 4. Fermer avec la croix ou la touche Échap 5. Tester en anglais et allemand;
F-003;Front;Pages;Page Professionnels;/professionnels · /en/professionnels · /de/professionnels;Prestations événements d'entreprise;Page Entreprise publiée;1. Ouvrir Professionnels 2. Textes et images s'affichent correctement 3. Cliquer sur les boutons d'action → bonne page 4. Tester les autres langues;
F-004;Front;Pages;Page À propos;/a-propos · /en/a-propos · /de/a-propos;Présentation de l'activité;Page À propos publiée;1. Ouvrir À propos 2. La carte rose « services » s'affiche si configurée 3. La galerie photo défile si présente 4. Tester les autres langues;
F-005;Front;Pages;Page Contact;/contact · /en/contact · /de/contact;Texte d'intro + formulaire de contact;Page Contact publiée;1. Ouvrir Contact 2. Le texte d'introduction est visible 3. Remplir tous les champs correctement et envoyer → message de confirmation 4. Essayer d'envoyer sans remplir → des messages d'erreur apparaissent;
F-006;Front;Pages;Liste blog;/blog · /en/blog · /de/blog;Liste des articles avec photo et date;Au moins un article publié;1. Ouvrir Blog 2. Les articles apparaissent en grille 3. Sur mobile : une colonne · sur tablette : deux · sur grand écran : trois 4. Cliquer « Lire plus » → l'article s'ouvre;
F-007;Front;Pages;Article blog;/blog/nom-article;Page de lecture d'un article;Un article publié avec photo titre et texte;1. Ouvrir un article depuis la liste 2. La grande image en haut s'affiche 3. Le titre et le texte correspondent au contenu saisi dans l'admin 4. Taper une fausse adresse (/blog/xyz) → page « introuvable »;
F-008;Front;Pages;Pages légales;Liens en bas de page (footer);Mentions légales CGV etc.;Liens configurés dans le menu « legal » de l'admin;1. Descendre tout en bas de n'importe quelle page 2. Cliquer chaque lien légal 3. Chaque lien mène à la bonne page;
F-009;Front;Pages;Page introuvable (404);N'importe quelle fausse adresse;Message d'erreur avec retour à l'accueil;Aucun;1. Taper une adresse qui n'existe pas 2. Un message clair s'affiche 3. Le lien « retour accueil » fonctionne;
F-010;Front;Pages;Erreur serveur (500);—;Page d'erreur en cas de problème technique;À tester avec l'aide du développeur;1. Demander au développeur de simuler une erreur 2. Vérifier qu'une page d'erreur propre s'affiche (pas un écran blanc);
